rule,n_apps,n_ops,seed,regime,objective,exact_objective,gap,seconds,exact_seconds,evaluated
overhead,100,50,4,large,0.26501203473457036,,,0.7947098020001704,,1384
overhead,100,50,5,large,0.2842872646005633,,,0.8516206360000069,,1425
overhead,100,50,6,large,0.2872433277547555,,,0.9597726029999194,,1610
overhead,100,50,7,large,0.3057239640667219,,,0.7247854290001214,,1359
overhead,100,50,8,large,0.21499215938278327,,,0.6139283499999237,,1025
overhead,100,50,9,large,0.26150083236803007,,,0.659299400000009,,1123
overhead,200,100,0,large,0.2335807197901255,,,2.3778220970000348,,1391
overhead,200,100,1,large,0.2247035281165967,,,3.3037484829999357,,2138
overhead,200,100,2,large,0.22602308547097757,,,2.7159956079999574,,1547
overhead,200,100,3,large,0.2239801223559359,,,2.9999934150000627,,2114
overhead,200,100,4,large,0.21694341980690435,,,2.730934719000061,,1777
overhead,200,100,5,large,0.2201186735029162,,,2.788390212999957,,1425
overhead,200,100,6,large,0.21371720812443018,,,2.7283727940000517,,1708
overhead,200,100,7,large,0.22293540649338417,,,2.3169167480000397,,1232
overhead,200,100,8,large,0.2390126362756318,,,3.1300358290000077,,2009
overhead,200,100,9,large,0.23998029300517656,,,4.5093907850000505,,3010
