cap_scale,seed,w_app,w_op,w_sys,napp,nsys
0.5,10,0.8,0.0,0.2,0.4537925720279562,0.1557577634262694
0.5,10,0.8,0.2,0.0,0.4737977643717599,0.18212699960384673
0.5,10,1.0,0.0,0.0,0.4537925720279562,0.10448733518839382
0.5,11,0.0,0.0,1.0,0.26883383900762536,0.2065669862450664
0.5,11,0.0,0.2,0.8,0.28112371780148,0.1989234560700645
0.5,11,0.0,0.4,0.6,0.28112371780148,0.1989234560700645
0.5,11,0.0,0.6,0.4,0.28112371780148,0.1989234560700645
0.5,11,0.0,0.8,0.2,0.28112371780148,0.1989234560700645
0.5,11,0.0,1.0,0.0,0.26825429125256306,0.14848860831986363
0.5,11,0.2,0.0,0.8,0.43159646325535556,0.194081281568316
0.5,11,0.2,0.2,0.6,0.4575094946515583,0.20236956843484855
0.5,11,0.2,0.4,0.4,0.4269154280622212,0.16795343559624162
0.5,11,0.2,0.6,0.2,0.5179748657173977,0.1788360305879224
0.5,11,0.2,0.8,0.0,0.4867409769686034,0.17494781470127868
0.5,11,0.4,0.0,0.6,0.3946572998625116,0.1902166054952119
0.5,11,0.4,0.2,0.4,0.5179748657173977,0.1788360305879224
0.5,11,0.4,0.4,0.2,0.40109506591838767,0.24614532384928195
0.5,11,0.4,0.6,0.0,0.5073105924126573,0.14667542613021525
0.5,11,0.6,0.0,0.4,0.4500523324243604,0.20495738064173274
0.5,11,0.6,0.2,0.2,0.480102589972773,0.1583672994657937
0.5,11,0.6,0.4,0.0,0.4524895785097459,0.17553891015781217
0.5,11,0.8,0.0,0.2,0.47792729078077933,0.1375666879978729
0.5,11,0.8,0.2,0.0,0.4524895785097459,0.17553891015781217
0.5,11,1.0,0.0,0.0,0.4384795176853157,0.09990239964582166
0.5,12,0.0,0.0,1.0,0.1593591528387747,0.1269096077059217
0.5,12,0.0,0.2,0.8,0.21521232478568675,0.12129565009172065
0.5,12,0.0,0.4,0.6,0.21521232478568675,0.12129565009172065
0.5,12,0.0,0.6,0.4,0.21521232478568675,0.12129565009172065
0.5,12,0.0,0.8,0.2,0.1579905416376884,0.11624605760872098
0.5,12,0.0,1.0,0.0,0.20223694563796119,0.11339591564885251
0.5,12,0.2,0.0,0.8,0.20797073274333605,0.11897834977761061
0.5,12,0.2,0.2,0.6,0.2799207817997597,0.11672912673415414
0.5,12,0.2,0.4,0.4,0.389801488163464,0.06482210541915048
0.5,12,0.2,0.6,0.2,0.4606444582496273,0.10798861263919103
0.5,12,0.2,0.8,0.0,0.4226115594178356,0.11029468263652127
0.5,12,0.4,0.0,0.6,0.3803380060682916,0.10693272888127762
0.5,12,0.4,0.2,0.4,0.37856920298381475,0.0723057906806942
0.5,12,0.4,0.4,0.2,0.3483244097751669,0.11263155557992613
0.5,12,0.4,0.6,0.0,0.3673904782505051,0.10563384333764039
0.5,12,0.6,0.0,0.4,0.3702707657914339,0.07832507799352167
0.5,12,0.6,0.2,0.2,0.42625456100406706,0.08660734060509197
0.5,12,0.6,0.4,0.0,0.40728276302244193,0.07710602212275385
0.5,12,0.8,0.0,0.2,0.4143112107654895,0.04836867035296177
0.5,12,0.8,0.2,0.0,0.38404874025443203,0.08719744580906194
0.5,12,1.0,0.0,0.0,0.3720119574495863,0.042281769575727664
0.5,13,0.0,0.0,1.0,0.27575918949758127,0.16885358796983768
0.5,13,0.0,0.2,0.8,0.34092432297074504,0.18050032494362894
0.5,13,0.0,0.4,0.6,0.34092432297074504,0.18050032494362894
0.5,13,0.0,0.6,0.4,0.34092432297074504,0.18050032494362894
0.5,13,0.0,0.8,0.2,0.34092432297074504,0.18050032494362894
