slack,cap_sigma,stake,rule,weights,seed,outcome,rounds,n_deviators,truthful_app,final_app,truthful_op,final_op,truthful_sys,final_sys,apps_worse,ops_worse
4.0,0.8,pareto,min,uniform,2,fixed_point,3,3,12.802759825364852,9.043484016534498,19.199512157369966,20.96125441450614,633.5851717979543,668.969737625546,2,1
4.0,0.8,pareto,min,uniform,3,fixed_point,3,2,38.65301424674326,38.65301424674326,27.28828657886353,30.778083200547183,992.784217242412,1119.7476671966854,0,0
4.0,0.8,pareto,min,uniform,4,fixed_point,1,0,40.43103829668421,40.43103829668421,18.86629112484165,18.86629112484165,804.2328982562112,804.2328982562112,0,0
4.0,0.8,pareto,min,uniform,5,fixed_point,3,3,15.15028194291896,15.15028194291896,5.834914477884505,5.492563633463873,241.74707226999232,245.41324669124208,0,1
4.0,0.8,pareto,min,sys,0,fixed_point,3,3,8.499228377763327,5.5767476945630765,11.796105060509678,12.106674022015916,584.6623406264256,982.1727372085928,1,2
4.0,0.8,pareto,min,sys,1,fixed_point,5,2,26.865614605810904,19.87797571681192,17.433073238812124,11.366451146805812,862.409525771239,771.7524798111341,1,1
4.0,0.8,pareto,min,sys,2,fixed_point,2,4,9.48051038596547,9.48051038596547,21.257706406118785,20.546656548428277,676.7732628572984,676.7732628572984,0,1
4.0,0.8,pareto,min,sys,3,fixed_point,1,0,38.65301424674326,38.65301424674326,27.28828657886353,27.28828657886353,992.784217242412,992.784217242412,0,0
4.0,0.8,pareto,min,sys,4,fixed_point,2,1,40.43103829668421,36.21461020206203,18.86629112484165,14.933243022440037,804.2328982562112,796.7975385842515,1,1
4.0,0.8,pareto,min,sys,5,fixed_point,2,1,15.15028194291896,15.15028194291896,3.751702653891957,3.609366762139081,245.41324669124208,245.41324669124208,0,1
